response_time,ego_max_accel,ego_min_brake,lead_max_brake,temperature,pool_beta,rss_violation_rate,severe_rss_violation_rate,min_rss_margin_mean,min_rss_margin_p05,min_rss_margin_p50,min_rss_margin_p95,corr_min_rss_margin_min_ttc,corr_min_rss_margin_min_gap,recorded_highd_false_positive_rate
0.5,0.5,4.0,4.0,1.0,8.0,0.14135,0.0446,33.95840750135248,-8.880814838409423,21.408259391784668,124.0370273590087,0.3150773467968975,0.9134477544984847,0.0446
0.5,0.5,4.0,6.0,1.0,8.0,0.65185,0.54205,-4.021888417602236,-53.43917121887207,-13.482223510742188,84.45674552917474,0.28488635615250685,0.8466973910745696,0.54205
0.5,0.5,4.0,8.0,1.0,8.0,0.78,0.7104,-23.867695351587482,-77.53122406005859,-31.479117393493652,61.986498451232904,0.24708222188604817,0.7922147239092487,0.7104
0.5,0.5,6.0,3.0,1.0,8.0,0.0,0.0,54.6357861677885,14.218991279602053,40.59001159667969,147.94100189208982,0.035986551902739035,0.9991573521020664,0.0
0.5,0.5,6.0,4.0,1.0,8.0,0.00035,5e-05,53.761267731189726,13.769495201110841,40.079994201660156,145.901008605957,0.057343613857535156,0.9933979759969589,5e-05
0.5,0.5,6.0,6.0,1.0,8.0,0.09845,0.0182,36.36853983137403,-3.9571827054023743,22.994105339050293,126.91913719177245,0.23631521237624847,0.9547420105328722,0.0182
0.5,0.5,6.0,8.0,1.0,8.0,0.41485,0.242,17.227384131069456,-25.085186290740968,5.412757873535156,106.03277549743635,0.22028742135591253,0.9330025042155867,0.242
0.5,0.5,8.0,3.0,1.0,8.0,0.0,0.0,54.742404521012304,14.229992532730103,40.65000343322754,148.2904930114746,0.03335387589301409,0.9999058489266816,0.0
0.5,0.5,8.0,4.0,1.0,8.0,0.0,0.0,54.61717965025306,14.180018043518066,40.58500862121582,147.83248672485348,0.03640078750506585,0.9992670077348033,0.0
0.5,0.5,8.0,6.0,1.0,8.0,0.0018,0.0001,51.71390544869248,11.809008884429932,38.23446464538574,142.69059600830073,0.10467585486774335,0.9879188113821205,0.0001
0.5,0.5,8.0,8.0,1.0,8.0,0.07755,0.00945,37.42163317722336,-2.2558906197547905,23.68416118621826,128.24141616821288,0.19257478495506047,0.9709747956101099,0.00945
0.5,1.0,3.0,3.0,1.0,8.0,0.22335,0.10005,29.009438945189608,-18.056688690185545,17.33424663543701,120.24350547790522,0.3902591503153754,0.8562480669195552,0.10005
0.5,1.0,3.0,4.0,1.0,8.0,0.67975,0.5815,-8.261317744193386,-62.27151622772217,-17.251541137695312,83.33408203124996,0.3687687509781087,0.7831003764530015,0.5815
0.5,1.0,3.0,6.0,1.0,8.0,0.86495,0.8219,-47.85918607399839,-110.82966957092285,-54.298391342163086,39.65903224945067,0.2929975645215745,0.6723398000732542,0.8219
0.5,1.0,3.0,8.0,1.0,8.0,0.9134,0.8796,-67.77527725678533,-136.5912322998047,-73.33197021484375,18.78743543624869,0.24908544687330153,0.6027395162810014,0.8796
0.5,1.0,4.0,3.0,1.0,8.0,0.0046,0.0022,52.05778878212897,12.479505348205567,38.899993896484375,141.83098678588865,0.09928888402015928,0.9747597097649633,0.0022
0.5,1.0,4.0,4.0,1.0,8.0,0.16985,0.0556,32.160568697493126,-10.987361335754393,19.554229736328125,122.80527153015133,0.3197879330850664,0.909839774919923,0.0556
0.5,1.0,4.0,6.0,1.0,8.0,0.66945,0.5647,-6.018083101653785,-55.77839889526367,-15.394258975982666,82.31771621704097,0.2853715417546971,0.8428458879829608,0.5647
0.5,1.0,4.0,8.0,1.0,8.0,0.79035,0.72385,-25.868134393461656,-79.8601203918457,-33.42117500305176,59.817369461059506,0.247285749404887,0.7876035574326606,0.72385
0.5,1.0,6.0,3.0,1.0,8.0,0.0,0.0,54.6193020493567,14.200002431869507,40.58000373840332,147.88049011230467,0.036377615035666076,0.9990504224563672,0.0
0.5,1.0,6.0,4.0,1.0,8.0,0.0006,5e-05,53.633022216473286,13.619495010375976,40.01999855041504,145.67404174804682,0.06038311101881175,0.9925987592655346,5e-05
0.5,1.0,6.0,6.0,1.0,8.0,0.11635,0.0231,35.10103456143747,-5.380859589576721,21.695860862731934,125.93664588928223,0.23874438884797874,0.9530625473302204,0.0231
0.5,1.0,6.0,8.0,1.0,8.0,0.4355,0.26415,15.880025445383657,-26.645508289337158,4.2022480964660645,104.64813156127929,0.22095415105060653,0.9312333201355072,0.26415
0.5,1.0,8.0,3.0,1.0,8.0,0.0,0.0,54.73952736752629,14.229992532730103,40.65000343322754,148.2904930114746,0.03342185086996569,0.9998935358809897,0.0
0.5,1.0,8.0,4.0,1.0,8.0,0.0,0.0,54.59953154363036,14.18001036643982,40.57999801635742,147.75399932861322,0.03680733391468319,0.9991773780525247,0.0
0.5,1.0,8.0,6.0,1.0,8.0,0.00215,0.0001,51.28367282726839,11.264812707901001,37.91184616088867,142.04339218139646,0.11364524506215701,0.9866990486633574,0.0001
