event_type,setting_id,varied_parameter,parameter_value,is_default_setting,seed,num_samples,p0,proposal_std,context_refresh_prob,mh_retries_per_sample,max_levels,run_dir,execution_status,quality_status,failure_reason,runtime_seconds,summary_path,effective_config_sha256,updated_utc,probability,binomial_rse,binomial_ci95_lower,binomial_ci95_upper,num_levels,closed_loop_evaluations,proposal_evaluations,mean_transition_acceptance_rate,reliability_status_observed,final_unique_contexts,final_unique_states,final_largest_context_share,final_largest_state_share,failure_threshold,stop_reason
cutin,num_samples_2000,num_samples,2000,false,101,2000,0.1,0.1,0.5,4,8,runs\cutin\num_samples_2000\seed_101,completed,pass,,118.625000,runs\cutin\num_samples_2000\seed_101\latent_subset_summary.json,9e1dafcec92a615f14b3a8b7bfa790cc8ad1027fee8ab9064c8db77d75ccbcd8,2026-08-02T15:15:09.371472+00:00,0.0058000000000000005,0.09011486922352166,0.004775574166667006,0.006824425833332995,2,6565,4565,0.672,pass,435.0,1544.0,0.005,0.0025,5.573939479308249,adaptive_failure_count_reached
cutin,num_samples_2000,num_samples,2000,false,202,2000,0.1,0.1,0.5,4,8,runs\cutin\num_samples_2000\seed_202,completed,pass,,108.000000,runs\cutin\num_samples_2000\seed_202\latent_subset_summary.json,3bce676b86fb773f64de993f2d971860a1a80c544e1cb298ddae3afed85989ec,2026-08-02T15:16:57.396057+00:00,0.0070999999999999995,0.08088419821650433,0.005974415497619125,0.008225584502380874,2,6707,4707,0.661,pass,446.0,1522.0,0.005,0.0025,5.573939479308249,adaptive_failure_count_reached
cutin,num_samples_2000,num_samples,2000,false,303,2000,0.1,0.1,0.5,4,8,runs\cutin\num_samples_2000\seed_303,completed,pass,,113.453000,runs\cutin\num_samples_2000\seed_303\latent_subset_summary.json,e060d8a4c1db2e32e1bfeedbf28e896abb050e0410a118321969abe7c950a805,2026-08-02T15:18:50.869482+00:00,0.007850000000000001,0.07661218409360457,0.006671244935535801,0.0090287550644642,2,6720,4720,0.6595,pass,408.0,1519.0,0.005,0.004,5.573939479308249,adaptive_failure_count_reached
cutin,p0_0p05,p0,0.05,false,101,1000,0.05,0.1,0.5,4,8,runs\cutin\p0_0p05\seed_101,completed,pass,,62.797000,runs\cutin\p0_0p05\seed_101\latent_subset_summary.json,4fa23516a5fb0f68f73cb99a8e90e0da4690ab6a1f648a08598f16ec5e221885,2026-08-02T15:14:52.737683+00:00,0.00515,0.09332061864388637,0.004208021675408611,0.006091978324591389,2,3473,2473,0.69,pass,126.0,740.0,0.02,0.008,5.573939479308249,subset_threshold_reached_failure_threshold
cutin,p0_0p05,p0,0.05,false,202,1000,0.05,0.1,0.5,4,8,runs\cutin\p0_0p05\seed_202,completed,pass,,63.750000,runs\cutin\p0_0p05\seed_202\latent_subset_summary.json,11aabae692725f176f5738f0f8168affc42d7cbcf17391c2c84e509bdc5604e2,2026-08-02T15:15:56.498879+00:00,0.00745,0.07557386714978369,0.006346470391878859,0.008553529608121141,2,3550,2550,0.664,pass,122.0,714.0,0.02,0.009,5.573939479308249,subset_threshold_reached_failure_threshold
cutin,p0_0p05,p0,0.05,false,303,1000,0.05,0.1,0.5,4,8,runs\cutin\p0_0p05\seed_303,completed,pass,,58.344000,runs\cutin\p0_0p05\seed_303\latent_subset_summary.json,6c20320a2ca4723274da692fe6d8e0fb600f8e27931da454ffb8b5cf05569e75,2026-08-02T15:16:54.853540+00:00,0.00595,0.08604278787055784,0.004946569007853554,0.006953430992146447,2,3530,2530,0.657,pass,110.0,707.0,0.02,0.005,5.573939479308249,subset_threshold_reached_failure_threshold
cutin,p0_0p2,p0,0.2,false,101,1000,0.2,0.1,0.5,4,8,runs\cutin\p0_0p2\seed_101,completed,pass,,52.563000,runs\cutin\p0_0p2\seed_101\latent_subset_summary.json,9e26cbddbea31a03297d2e8f8dbf8bbb4e62e247a4b036dc9adb0313b6bebe9e,2026-08-02T15:17:47.415712+00:00,0.0074,0.16132894045095267,0.005060085047699383,0.009739914952300617,2,2890,1890,0.658,pass,400.0,858.0,0.005,0.004,5.573939479308249,adaptive_failure_count_reached
cutin,p0_0p2,p0,0.2,false,202,1000,0.2,0.1,0.5,4,8,runs\cutin\p0_0p2\seed_202,completed,pass,,52.047000,runs\cutin\p0_0p2\seed_202\latent_subset_summary.json,a8f98c76cc4c4bd7ddcd53b58d24a9c4c5549f7d932e4e32533b6a9ac4465958,2026-08-02T15:18:39.476548+00:00,0.007000000000000001,0.16604646509766044,0.0047218424988600995,0.009278157501139903,2,2895,1895,0.659,pass,399.0,859.0,0.005,0.004,5.573939479308249,adaptive_failure_count_reached
cutin,p0_0p2,p0,0.2,false,303,1000,0.2,0.1,0.5,4,8,runs\cutin\p0_0p2\seed_303,completed,pass,,56.969000,runs\cutin\p0_0p2\seed_303\latent_subset_summary.json,16786722687459a5591f25e16e26b8e025853b42ef0e4a2be4c312b55e161623,2026-08-02T15:19:36.461956+00:00,0.0048000000000000004,0.2016597794967223,0.002902784794494837,0.006697215205505164,2,2963,1963,0.632,pass,385.0,832.0,0.005,0.004,5.573939479308249,adaptive_failure_count_reached
cutin,proposal_std_0p05,proposal_std,0.05,false,101,1000,0.1,0.05,0.5,4,8,runs\cutin\proposal_std_0p05\seed_101,completed,pass,,56.235000,runs\cutin\proposal_std_0p05\seed_101\latent_subset_summary.json,bbc132ed52d055cd308b501a8085bdfeb330a437fc41b7ddef5457b89afc4de6,2026-08-02T15:19:08.637303+00:00,0.0083,0.10511038374530055,0.006590064277231451,0.01000993572276855,2,2902,1902,0.791,pass,215.0,891.0,0.01,0.003,5.573939479308249,adaptive_failure_count_reached
cutin,proposal_std_0p05,proposal_std,0.05,false,202,1000,0.1,0.05,0.5,4,8,runs\cutin\proposal_std_0p05\seed_202,completed,pass,,55.375000,runs\cutin\proposal_std_0p05\seed_202\latent_subset_summary.json,911469a42cd0e1ed83156358bc401571ad42c8ae6f6fc3f7dbc162fb7fa56046,2026-08-02T15:20:04.019923+00:00,0.006500000000000001,0.11993588030533392,0.004972016884910046,0.008027983115089956,2,2888,1888,0.804,pass,202.0,904.0,0.01,0.003,5.573939479308249,adaptive_failure_count_reached
cutin,proposal_std_0p05,proposal_std,0.05,false,303,1000,0.1,0.05,0.5,4,8,runs\cutin\proposal_std_0p05\seed_303,completed,pass,,50.829000,runs\cutin\proposal_std_0p05\seed_303\latent_subset_summary.json,f4eaea2b67ea1d1392ff13c957ece74f4576f0ce3d7d5b3bc2ff2cbece1eac71,2026-08-02T15:20:54.856999+00:00,0.0063,0.12195497477764437,0.0047940999714456475,0.007805900028554353,2,2964,1964,0.783,pass,195.0,883.0,0.01,0.005,5.573939479308249,adaptive_failure_count_reached
cutin,proposal_std_0p2,proposal_std,0.2,false,101,1000,0.1,0.2,0.5,4,8,runs\cutin\proposal_std_0p2\seed_101,completed,pass,,64.969000,runs\cutin\proposal_std_0p2\seed_101\latent_subset_summary.json,8cbf95b01a03d6b2fe0de2172b90d8755affe9fbf66d202243d96c85ebe19cfd,2026-08-02T15:19:55.859460+00:00,0.0077,0.10948521812104585,0.006047649088117176,0.009352350911882825,2,3911,2911,0.426,pass,272.0,526.0,0.01,0.009,5.573939479308249,adaptive_failure_count_reached
cutin,proposal_std_0p2,proposal_std,0.2,false,202,1000,0.1,0.2,0.5,4,8,runs\cutin\proposal_std_0p2\seed_202,completed,fail,unique_states 477 < 500,59.563000,runs\cutin\proposal_std_0p2\seed_202\latent_subset_summary.json,b90b51fee433023140ecdd3a55afa29613715c32c79df975ed515fad5564238a,2026-08-02T15:20:55.426584+00:00,0.006700000000000001,0.11800581822235867,0.0051503475951039865,0.008249652404896016,2,3969,2969,0.377,fail,259.0,477.0,0.01,0.008,5.573939479308249,adaptive_failure_count_reached
cutin,proposal_std_0p2,proposal_std,0.2,false,303,1000,0.1,0.2,0.5,4,8,runs\cutin\proposal_std_0p2\seed_303,completed,fail,unique_states 455 < 500,62.422000,runs\cutin\proposal_std_0p2\seed_303\latent_subset_summary.json,792fcd9115e03fe96ad139877d7510783c94bd782630420b3919f3cb984aaaa9,2026-08-02T15:21:57.864338+00:00,0.0063,0.12195497477764437,0.0047940999714456475,0.007805900028554353,2,4000,3000,0.355,fail,245.0,455.0,0.01,0.01,5.573939479308249,adaptive_failure_count_reached
cutin,context_refresh_prob_0p25,context_refresh_prob,0.25,false,101,1000,0.1,0.1,0.25,4,8,runs\cutin\context_refresh_prob_0p25\seed_101,completed,pass,,53.984000,runs\cutin\context_refresh_prob_0p25\seed_101\latent_subset_summary.json,104b27f5e7bc9c011cc3dbfeaa4fa977b98f32d2d5f56e902340d2583f274fa9,2026-08-02T15:20:30.448922+00:00,0.006900000000000001,0.11615831275973497,0.005329074978237345,0.008470925021762657,2,2988,1988,0.779,pass,149.0,879.0,0.01,0.005,5.573939479308249,adaptive_failure_count_reached
cutin,context_refresh_prob_0p25,context_refresh_prob,0.25,false,202,1000,0.1,0.1,0.25,4,8,runs\cutin\context_refresh_prob_0p25\seed_202,completed,pass,,54.547000,runs\cutin\context_refresh_prob_0p25\seed_202\latent_subset_summary.json,1ce8ba0489ec6b611d455de6efe7ecf5c838a267bc9e85948d6643183bd75411,2026-08-02T15:21:25.003767+00:00,0.0070999999999999995,0.11438753009945413,0.005508183131135996,0.008691816868864003,2,3047,2047,0.769,pass,155.0,869.0,0.01,0.004,5.573939479308249,adaptive_failure_count_reached
cutin,context_refresh_prob_0p25,context_refresh_prob,0.25,false,303,1000,0.1,0.1,0.25,4,8,runs\cutin\context_refresh_prob_0p25\seed_303,completed,pass,,54.937000,runs\cutin\context_refresh_prob_0p25\seed_303\latent_subset_summary.json,bb230c274bd50c6f8de6aed1221a59117fc7ff8a8aa2d1641d396c9b93584bbd,2026-08-02T15:22:19.950207+00:00,0.0045,0.14567848922274776,0.003215115725055365,0.0057848842749446345,2,3014,2014,0.771,pass,144.0,871.0,0.01,0.004,5.573939479308249,adaptive_failure_count_reached
cutin,context_refresh_prob_0p75,context_refresh_prob,0.75,false,101,1000,0.1,0.1,0.75,4,8,runs\cutin\context_refresh_prob_0p75\seed_101,completed,pass,,59.219000,runs\cutin\context_refresh_prob_0p75\seed_101\latent_subset_summary.json,4c4ef4f1ee18bc3fbef46bb14e9a2dab24dfbb9f7753671332efd9a50e71edc5,2026-08-02T15:21:54.090949+00:00,0.0058000000000000005,0.12744167022738218,0.00435124309285512,0.007248756907144881,2,3653,2653,0.531,pass,324.0,631.0,0.01,0.01,5.573939479308249,adaptive_failure_count_reached
cutin,context_refresh_prob_0p75,context_refresh_prob,0.75,false,202,1000,0.1,0.1,0.75,4,8,runs\cutin\context_refresh_prob_0p75\seed_202,completed,pass,,55.078000,runs\cutin\context_refresh_prob_0p75\seed_202\latent_subset_summary.json,deb9569867a07179b01b334d29ae326f609a54c6a4a522c999743339619dc9bf,2026-08-02T15:22:49.171907+00:00,0.0088,0.10180194675759575,0.007044120022324988,0.010555879977675013,2,3709,2709,0.517,pass,300.0,617.0,0.01,0.007,5.573939479308249,adaptive_failure_count_reached
cutin,context_refresh_prob_0p75,context_refresh_prob,0.75,false,303,1000,0.1,0.1,0.75,4,8,runs\cutin\context_refresh_prob_0p75\seed_303,completed,pass,,52.734000,runs\cutin\context_refresh_prob_0p75\seed_303\latent_subset_summary.json,c82aa8c551801a73747a9c7a0dc6dfdec3ede2e6db84ba30f32df74bb0f57b2e,2026-08-02T15:23:41.901108+00:00,0.0059,0.12628995424170872,0.00443958296914888,0.00736041703085112,2,3706,2706,0.502,pass,291.0,602.0,0.01,0.008,5.573939479308249,adaptive_failure_count_reached
cutin,context_refresh_prob_0p9,context_refresh_prob,0.9,false,101,1000,0.1,0.1,0.9,4,8,runs\cutin\context_refresh_prob_0p9\seed_101,completed,pass,,56.297000,runs\cutin\context_refresh_prob_0p9\seed_101\latent_subset_summary.json,f4ff86b46e07c26ca049ba50becefc36b0b82336700b59a808540108d3c275c8,2026-08-02T15:22:54.169334+00:00,0.0063,0.12195497477764437,0.0047940999714456475,0.007805900028554353,2,3893,2893,0.418,pass,387.0,518.0,0.01,0.008,5.573939479308249,adaptive_failure_count_reached
cutin,context_refresh_prob_0p9,context_refresh_prob,0.9,false,202,1000,0.1,0.1,0.9,4,8,runs\cutin\context_refresh_prob_0p9\seed_202,completed,pass,,54.031000,runs\cutin\context_refresh_prob_0p9\seed_202\latent_subset_summary.json,7a86cc14692b8655cd40b93ebb2370a6958bb3d2d8c289fa1403f92d4f4c1668,2026-08-02T15:23:48.210504+00:00,0.0083,0.10511038374530055,0.006590064277231451,0.01000993572276855,2,3901,2901,0.41,pass,394.0,510.0,0.01,0.008,5.573939479308249,adaptive_failure_count_reached
cutin,context_refresh_prob_0p9,context_refresh_prob,0.9,false,303,1000,0.1,0.1,0.9,4,8,runs\cutin\context_refresh_prob_0p9\seed_303,completed,pass,,53.531000,runs\cutin\context_refresh_prob_0p9\seed_303\latent_subset_summary.json,f9749dca3de4ee4ea5b0683c790e8ca379a3269b76dbdd01c83ca213437b465d,2026-08-02T15:24:41.759150+00:00,0.0045,0.14567848922274776,0.003215115725055365,0.0057848842749446345,2,3917,2917,0.4,pass,344.0,500.0,0.01,0.009,5.573939479308249,adaptive_failure_count_reached
